27
9 28 0 28 28 28 0 0 0 0 2 12 0 29 0 28 29 29 2 29 0 16 6 0 0 0 0
28 6 17 2 0 0 0 0 31 11 28 0 28 0 28 0 0 0 28 0 31 0 0 31 31 5 31
29 0 31 0 0 0 0 31 0 31 29 0 29 10 29 0 0 0 29 0 20 0 0 20 20 31 8
28 2 16 10 0 10 0 11 31 0 28 0 28 0 28 0 0 0 28 0 31 2 0 31 31 11 31
12 0 28 1 0 0 2 28 29 28 0 7 12 0 4 1 0 1 12 0 29 0 0 29 29 28 29
1 28 1 28 28 28 12 0 0 0 7 0 0 29 2 28 29 29 0 29 0 12 12 0 0 0 0
16 0 28 0 1 0 0 28 29 28 12 0 0 0 12 0 0 0 8 0 29 6 0 29 29 28 29
0 31 0 31 31 31 29 0 10 0 0 29 0 0 0 31 20 20 0 20 0 29 29 0 0 0 4
12 0 28 0 0 0 0 28 29 28 4 2 12 0 0 0 1 0 12 0 29 0 3 29 29 28 29
0 17 8 16 2 16 28 0 0 0 1 28 0 31 0 0 31 31 1 31 0 28 28 0 0 0 0
0 31 0 31 31 31 29 0 0 0 0 29 0 20 1 31 0 8 0 11 7 29 29 1 0 0 0
0 31 0 31 31 31 29 0 0 0 1 29 0 20 0 31 8 0 0 11 2 29 29 0 0 0 1
16 0 28 0 0 0 2 28 29 28 12 0 8 0 12 1 0 0 0 0 29 2 0 29 29 28 29
0 31 0 31 31 31 29 0 0 0 0 29 0 20 0 31 11 11 0 0 0 29 29 5 1 0 0
29 0 31 0 0 0 0 31 20 31 29 0 29 0 29 0 7 2 29 0 0 0 0 11 11 31 20
0 28 0 28 28 28 16 0 0 2 0 12 6 29 0 28 29 29 2 29 0 0 16 0 0 0 0
6 28 0 28 28 28 6 0 0 0 0 12 0 29 3 28 29 29 0 29 0 16 0 0 0 0 0
29 0 31 0 0 0 0 31 20 31 29 0 29 0 29 0 1 0 29 5 11 0 0 0 8 31 20
29 0 31 0 0 0 0 31 20 31 29 0 29 0 29 0 0 0 29 1 11 0 0 8 0 31 20
28 6 17 0 2 0 0 5 31 11 28 0 28 0 28 0 0 0 28 0 31 0 0 31 31 0 31
29 0 31 0 0 0 0 31 8 31 29 0 29 4 29 0 0 1 29 0 20 0 0 20 20 31 0
